# 隨機星名池譯表(STARNAME.LBX asset1)。英文原文即 key。
# 來源:原版 829 條隨機星名(銀河生成時分配給非母星恆星,見 docs/tech/proper-noun-strategy.md);
# 逐條核對後 829 條英文名彼此互不重複(即去重後仍為 829 條)。與母星名 starname.tsv(asset0,13 條
# 固定母星)分屬不同 asset,勿混用。
#
# 內容盤點(逐條核對後的實際組成,非泛用「短音節」假設):除大量 2-4 字母虛構短音節外,
# 這份表其實大量借用了(1)真實恆星/星座學名(Vega/Rigel/Sadr/Deneb/Aldebaran/Fomalhaut、
# Draco/Lyra/Crux/Cygni/Taurus 等星座屬格)、(2)克蘇魯神話 + Dunsany/Clark Ashton Smith 專有名詞
# (Arkham/Carcosa/Hastur/Yaddith/Kadath/Ulthar/R'lyeh/Hyperborea/Zothique/Poseidonis 等)、
# (3)圍棋術語彩蛋(Joseki/Fuseki/Sente/Gote/Atari/Komi/Tesuji 等,依標準中文圍棋術語譯出,
# 保留原設計的隱藏樂趣)、(4)歷史/神話/科學人名地名(Galileo/Hawking/Ptolemy/Babylon/Osiris 等)。
#
# 翻譯方案(2026-07-11 落地):查得到真名的一律優先意譯/採用既定中文譯名(恆星/星座沿用天文界
# 慣用漢名,圍棋術語沿用中文圍棋界慣用術語,神話/人名沿用常見譯名);查無實據的短促虛構音節採
# 規則化音譯(短促、避生僻字、避與真名撞)。少數真假難辨或查證把握度較低的條目已盡力給出音譯或
# 最相近的既定譯名,把握度低於其餘條目,詳見交付回報列出的覆核清單。
Abbith	阿比斯
Canopus	老人星
Capella	五車二
Caph	王良四
Carcosa	卡爾克薩
Carina	船底座
Castor	北河二
Cathuria	卡圖里亞
Ceginus	塞吉努斯
Celaeno	刻拉厄諾
Celephais	賽勒法斯
Celox	塞洛克斯
Celtsi	凱爾茨
Centauri	半人馬
Cephee	仙王
Cerva	塞爾瓦
Cetus	鯨魚座
Charon	卡戎
Chay Foo	柴福
Chelae	凱萊
Chiba	千葉
Ching	清
Choo	秋
Chorazin	哥拉汛
Chort	喬特
Cimmeria	辛梅利亞
Collassa	科拉薩
Commoriom	康莫瑞歐姆
Concordia	康科迪亞
Corbeau	科爾博
Corolla	科羅拉
Corona	科羅娜
Corvus	烏鴉座
Cressa	克蕾莎
Crius	克利俄斯
Croix	克魯瓦
Croth	克羅斯
Crux	南十字座
Crypto	克里普托
Cursa	庫爾薩
Cygni	天鵝座
Daban	達班
Dagon	達貢
Dame	單官
Dannu	達奴
Dante	但丁
Darrian	達里安
Dauphin	道芬
Degiri	德吉里
Deli	德利
Delta	德爾塔
Demhe	德姆赫
Dendo	登多
Deneb	天津四
Denubius	多瑙
Derke	德克
Desmos	德斯莫斯
Dhira	迪拉
Diab	迪亞布
Dilfim	迪爾芬
Dilgan	迪爾根
Distaff	迪斯塔夫
Dolz	多爾茲
Dorado	劍魚座
Draco	天龍座
Drakka	德拉卡
Dramasa	德拉馬薩
Dromos	德羅莫斯
Drossel	德羅塞爾
Dumke	敦克
Dunatis	杜納提斯
Dunwich	敦威治
Ecber	埃克貝爾
Echidna	厄客德娜
Ecu	埃庫
Einhorn	獨角獸
Elcorno	埃爾科諾
Electra	厄勒克特拉
Elkis	埃爾基斯
Ell	艾爾
Elvarad	埃爾瓦拉德
Elysia	埃利西亞
Endoria	恩多利亞
Enoch	以諾
Ensis	恩西斯
Enzu	恩祖
Epsilon	艾普西隆
Ercole	埃爾科萊
Eridanus	波江座
Erigone	厄里戈涅
Eros	厄洛斯
Erulus	埃魯盧斯
Escalon	埃斯卡隆
Esper	埃斯佩爾
Etana	埃塔那
Exis	埃克西斯
Ezor	埃佐
Ezra	以斯拉
Faelis	法埃利斯
Fafnir	法夫尼爾
Fahd	法赫德
Fakar	法卡爾
Fascia	法西亞
Felis	費利斯
Fera	費拉
Fides	菲德斯
Finn	芬恩
Firma	費爾瑪
Fische	費舍
Fixas	菲克薩斯
Fluvius	弗魯維烏斯
Fomalhaut	北落師門
Fortuna	福爾圖娜
Fovea	佛維亞
Frere	弗雷爾
Fullen	富倫
Fundus	芬杜斯
Fuseki	佈局
Gabbar	加巴爾
Gadjo	加喬
Galapago	加拉帕戈
Galileo	伽利略
Galos	加洛斯
Gamma	伽瑪
Gatto	加托
Gazelle	瞪羚
Gehenna	欣嫩
Gemat	傑馬特
Genam	傑南
Geodesy	傑奧德西
Geph	格夫
Geta	蓋塔
Ghamus	加姆斯
Gharne	加爾內
Ghav	加夫
Gibber	吉伯
Gigas	吉迦斯
Gion	祇園
Girtab	吉爾塔布
Gladius	格拉迪烏斯
Goi	戈伊
Gontzol	岡佐爾
Gorgonis	戈爾貢
Gorra	戈拉
Gote	後手
Grumium	格魯米姆
Grus	天鶴座
Gryphon	獅鷲
Guad	瓜德
Gula	古拉
Guradas	古拉達斯
Gurion	古里安
Habor	哈博
Hadar	馬腹一
Hadramaut	哈德拉毛
Hague	海牙
Hali	哈利
Hally	哈雷
Hamete	哈梅特
Hammis	哈米斯
Hanekomi	扳入
Hapi	哈皮
Hap	哈普
Harag	哈拉格
Hasami	夾
Hase	哈瀨
Hastur	哈斯塔
Hawking	霍金
Hayk	哈伊克
Helios	赫利俄斯
Helos	赫洛斯
Heracles	海克力斯
Hera	赫拉
Herculis	武仙
Hermidon	赫米敦
Herschel	赫歇爾
Hewel	休厄爾
Hinde	欣德
Hiraki	拆
Hircus	希爾庫斯
Honte	洪特
Horne	霍恩
Horus	荷魯斯
Hoshi	星
Hut	哈特
Hyades	畢宿星團
Hyboria	海波利亞
Hydrae	長蛇
Hyperborea	極北之地
Ibis	朱鷺
Icarus	伊卡洛斯
Ilya	伊利亞
Imma	伊瑪
Inak	伊納克
Inari	稻荷
Incedius	因塞迪烏斯
Indus	印第安座
Inganok	因加諾克
Invaka	因瓦卡
Iras	伊拉斯
Irem	埃雷姆
Irra	伊拉
Ishi	伊希
Ishtar	伊絲塔
Ivielda	伊維爾達
Ixion	伊克西翁
Izar	梗河一
Jabbar	賈巴爾
Jabo	賈博
Jacob	雅各
Jaculum	賈庫盧姆
Janib	賈尼布
Jataka	本生
Jinga	金加
Jobe	喬博
Jordanus	約旦
Joseki	定石
Joshua	約書亞
Juga	尤加
Jugum	尤古姆
Juka	尤卡
Justa	尤斯塔
Juza	尤扎
Kadath	卡達斯
Kae	凱
Kaff	卡夫
Kaht	卡特
Kailis	凱利斯
Kakari	掛
Kakata	卡卡塔
Kake	卡凱
Kalb	卡爾布
Kali	迦梨
Katab	卡塔布
Keats	濟慈
Keeta	基塔
Kelev	凱勒夫
Khrissa	克里薩
Khumba	庫姆巴
Kif	基夫
Kit Alpha	基特阿爾法
Kled	克萊德
Kluhn	克魯恩
Klystron	速調管
Knaa	克納
Knyan	克尼安
Kochba	科赫巴
Kolath	科拉斯
Komi	貼目
Komoku	小目
Kosumi	小尖
Koth	科斯
Kraken	海妖
Krebs	克雷布斯
Kronos	克洛諾斯
Ktynga	克廷加
Kulthos	庫爾索斯
Kyusho	急所
Laan	拉恩
Lacerta	蝎虎座
Ladon	拉冬
Laius	拉伊俄斯
Lamash	拉瑪什
Laniger	拉尼格
Lar	拉爾
Lawdon	勞頓
Lemuria	利莫里亞
Leng	冷
Leonids	獅子座流星
Lepus	天兔座
Lerion	萊里恩
Lesath	尾宿八
Leviathan	利維坦
Lince	林塞
Linx	天貓座
Lir	利爾
Lomar	羅瑪爾
Lone	隆恩
Lora	蘿拉
Lupus	豺狼座
Lura	露拉
Lurnis	盧爾尼斯
Lyae	萊亞
Lycaon	呂卡翁
Lyra	天琴座
Maalor	馬洛爾
Maaz	馬茲
Madira	馬迪拉
Madorla	曼多拉
Magari	馬加里
Magdalen	抹大拉
Magi	麻葛
Magnus	馬格努斯
Mahu	馬胡
Malec	馬萊克
Malus	馬盧斯
Mane Go	芒果
Manica	馬尼卡
Manzil	曼齊爾
Maretta	馬雷塔
Marindi	馬林迪
Mariner	馬里納
Markab	室宿二
Matar	馬塔爾
Media	米蒂亞
Menalo	梅納洛
Menita	梅妮塔
Mensa	山案座
Merope	墨洛珀
Mihr	米赫爾
Milaff	米拉夫
Minerva	密涅瓦
Min	敏
Miract	米拉克
Mirak	天璇
Miranda	米蘭達
Mirror	鏡
Mirza	米爾扎
Misha	米沙
Mithras	密特拉
Mizar	開陽
Mochos	莫科斯
Monius	莫尼烏斯
Monkar	蒙卡爾
Monstrum	蒙斯特魯姆
Montone	蒙托內
Moro	莫羅
Morrig	莫瑞格
Moyo	模樣
Mula	穆拉
Mulban	穆爾班
Mulubat	穆盧巴特
Munic	慕尼克
Muru	穆魯
Musator	穆薩托
Muscida	穆西達
Mutatrix	穆塔特里克斯
Mutlat	穆特拉
Naam	納姆
Nagar	納加爾
Naos	納俄斯
Narn	納恩
Nasak	納薩克
Nath	納斯
Necht	內赫特
Nekkar	內卡爾
Nephthys	奈芙蒂斯
Neptunus	涅普頓
Nessus	涅索斯
Niallar	尼亞拉
Nilus	尼盧斯
Nimbus	寧巴斯
Ninsar	寧薩爾
Niphla	尼夫拉
Niru	尼魯
Nir	尼爾
Nisus	尼蘇斯
Nobi	長
Noctua	諾克圖亞
Nordia	諾迪亞
Nortes	諾爾特斯
Noton	諾頓
Nubilium	努比利烏姆
Numinos	努米諾斯
Obaca	奧巴卡
Oba	奧巴
Obelus	奧貝勒斯
Oberon	奧伯龍
Octipes	奧克提佩斯
Oculus	歐庫魯斯
Ogeima	大飛
Ogka	奧格卡
Okab	奧卡布
Okda	奧克達
Oki	放置
Olathoe	奧拉索埃
Olorun	奧洛倫
Olor	奧洛
Omega	歐米伽
Omicron	歐米克戎
Ooma	烏瑪
Opus	歐帕斯
Orbis	奧爾比斯
Orf	奧夫
Oriab	奧里亞布
Origen	奧利振
Orloge	奧洛日
Osae	奧賽
Oshi	押
Osiris	奧西里斯
Otawa	渥太瓦
Ovillus	奧維盧斯
Padus	帕杜斯
Paladia	帕拉迪亞
Palaemon	帕萊蒙
Pandora	潘朵拉
Panthera	潘瑟拉
Paradise	樂園
Paranar	帕拉納
Parma	帕爾馬
Passer	帕塞爾
Patera	帕特拉
Pavone	帕沃內
Pavo	孔雀座
Pax	帕克斯
Pegasus	飛馬座
Pelenor	佩蘭諾
Peren	佩倫
Perizoma	佩里佐馬
Pern	佩恩
Persea	佩爾塞亞
Perseo	珀爾修斯
Pesci	佩斯基
Phakt	法克特
Phantos	幻影
Pharmaz	法瑪茲
Phecca	天璣
Pherd	費爾德
Phobeus	福波斯
Phoenix	鳳凰座
Phyco	費科
Piatuos	皮亞圖斯
Pictor	繪架座
Pindar	品達
Pipiri	皮皮里
Pistrix	皮斯特里克斯
Plastrum	普拉斯特魯姆
Pleides	昴宿星團
Pliny	普林尼
Poculum	波庫盧姆
Polarion	波拉里翁
Polaris	北極星
Pollus	波盧斯
Pollux	北河三
Pomptina	龐普蒂納
Ponnuki	提子
Porrima	波麗瑪
Poseidonis	波塞多尼斯
Praxis	普拉克西斯
Priapus	普里阿普斯
Proclus	普羅克洛斯
Proctor	普羅克特
Procyon	南河三
Proditor	普羅迪托爾
Profugus	普羅富古斯
Propus	普羅普斯
Proteus	普羅透斯
Proxima	比鄰星
Psi Gamma	普西伽瑪
Ptolemy	托勒密
Pund	龐德
Python	皮同
Qablu	卡布魯
Qatar	卡塔爾
Quadrupes	四足獸
Quandra	昆德拉
Quayal	奎亞爾
Quercia	奎爾恰
Que	克
Qui	奎
Rabe	拉貝
Radiff	拉迪夫
Rahab	拉哈伯
Ramad	拉馬德
Ramo	拉莫
Rana	拉納
Ras	拉斯
Rav	拉夫
Rayden	雷電
Rebar	雷巴
Regulus	軒轅十四
Remus	雷穆斯
Reticuli	網罟
Revati	雷瓦蒂
Rex	雷克斯
Rha	拉
Rhea	瑞亞
Rhilus	里魯斯
Rhombus	若姆布斯
Rial	里亞爾
Ribat	里巴特
Rigel	參宿七
Risabam	里薩班
Rishka	里什卡
Riwand	里萬德
Rlyeh	拉萊耶
Roch	洛許
Romulas	羅慕路斯
Rosa	蘿莎
Rosemund	羅斯蒙德
Rotan	羅坦
Ruba	魯巴
Rukubi	魯庫比
Rutilicus	魯提利庫斯
Ruzam	魯扎姆
Ryoun	廖恩
Saak	薩克
Sabaki	騰挪
Sabazius	薩巴齊烏斯
Sabik	薩比克
Sadak	薩達克
Sadr	天津一
Sagan	薩根
Sagitta	天箭座
Sahil	薩希爾
Sahu	薩胡
Saiph	參宿六
Saltator	薩爾塔托爾
Sal	薩爾
Samson	參孫
San San	珊珊
San	聖
Sarfah	薩爾法
Sargon	薩爾貢
Sarkomand	薩科曼德
Sarnath	薩爾納斯
Sarti	薩爾蒂
Sarwa	薩爾瓦
Satyr	薩堤爾
Saxon	撒克遜
Scaliger	斯卡利傑
Scera	斯塞拉
Scheader	王良一
Scheat	室宿一
Schiff	席夫
Schwan	施萬
Scorpio	天蠍座
Scutulum	盾牌
Segel	塞格爾
Seginus	招搖
Seidon	塞頓
Seki	雙活
Selia	塞莉亞
Sella	塞拉
Semeai	對殺
Sente	先手
Septum	塞普敦
Serapis	塞拉皮斯
Serpens	巨蛇座
Shaghar	沙加爾
Shalako	沙拉科
Sharru	沙魯
Shat	沙特
Shen	神
Shicho	徵子
Shih	石
Shimari	守角
Shinogi	治孤
Shira	希拉
Shwing	施溫
Siktut	西克圖
Simak	西馬克
Simius	西米烏斯
Siru	西魯
Situla	西圖拉
Skai	斯凱
Slkim	斯爾金
Smon	斯蒙
Sonans	索南斯
Souchis	索基斯
Spica	角宿一
Stalaz	斯塔拉茲
Statius	斯塔提烏斯
Steinbok	斯坦博克
Stellio	星蜥
Suji	筋
Sukra	蘇克拉
Sulcus	蘇爾庫斯
Sung	宋
Sutul	蘇圖爾
Suud	蘇德
Syntaxis	辛塔克西斯
Syrius	天狼星
Taben	塔本
Tah	塔
Tais	泰斯
Tai	泰
Takamoku	高目
Talas	怛羅斯
Tali	塔莉
Tambiru	坦比魯
Tammech	塔梅赫
Tantalus	坦塔羅斯
Tao	道
Tarandus	塔蘭杜斯
Tarazad	塔拉扎德
Tarcuta	塔庫塔
Tatiana	塔蒂雅娜
Tau Cygni	天鵝座τ
Tauri	金牛
Taurus	金牛座
Tejat	泰賈特
Telum	泰倫姆
Templum	坦普魯姆
Tenuki	脫先
Tericas	特里卡斯
Testa	泰斯塔
Tesuji	手筋
Tewari	手割
Thales	泰勒斯
Thaur	陶爾
Thesbia	塞斯比亞
Thiba	提巴
Thog	索格
Thok	索克
Thoth	托特
Thraa	特拉阿
Thrax	斯拉克斯
Thuban	右樞
Thuggon	塔貢
Tiam	提亞姆
Tigris	底格里斯
Tindalos	廷達洛斯
Tinnan	廷南
Tirstar	提爾斯塔
Tome	托姆
Tond	通德
Toranor	托拉諾
Tormantius	托曼提烏斯
Trax	特拉克斯
Trethon	特雷森
Trifid	三葉
Trigon	特里岡
Triones	特里奧內斯
Tripton	特里普頓
Tristan	特里斯坦
Tsang	藏
Tsath	察斯
Tsugi	接
Tsuke	碰
Tucana	杜鵑座
Tukan	圖坎
Tur	圖爾
Tycho	第谷
Tyrannus	提拉努斯
Tyrius	提里烏斯
Tyr	提爾
Ubar	烏巴爾
Ubboth	烏波斯
Udara	烏達拉
Udha	烏達
Ukko	烏科
Ulgher	烏爾格
Ulthar	烏撒
Umm	烏姆
Ungal	溫加爾
Unuk	天市右垣七
Urania	烏拉尼亞
Urf	烏爾夫
Urkab	烏爾卡布
Urna	烏爾娜
Ursula	烏蘇拉
Ursus	烏爾蘇斯
Ussika	烏西卡
Uxmai	烏克斯邁
Uz	烏茲
Vagn	瓦格恩
Vaht	瓦特
Valkyr	瓦爾基里
Valusia	瓦盧西亞
Varak	瓦拉克
Vardi	瓦爾迪
Varinia	瓦琳妮亞
Vector	維克托
Vega	織女星
Vela	船帆座
Veneris	維納斯
Vespa	韋斯帕
Vhoorl	沃霍爾
Vij	維吉
Virgil	維吉爾
Virgo	室女座
Vitruvious	維特魯威
Volans	飛魚座
Volantis	飛魚
Voor	沃爾
Vox	沃克斯
Vulcan	伏爾甘
Vuples	烏普勒斯
Waage	沃格
Wabir	瓦比爾
Waghi	瓦吉
Wag	瓦格
Wain	韋恩
Warikomi	挖
Wasat	瓦薩特
Wazn	瓦茲恩
Weg	韋格
Wei	魏
Wesat	韋薩特
Wesen	韋森
Whynil	懷尼爾
Wilder	懷爾德
Willow	柳
Wirius	維里烏斯
Wolf	狼
Woo	伍
Woz	沃茲
Xanthus	克桑托斯
Xeen	希恩
Xendalla	森達拉
Xengara	森加拉
Xenon	氙
Xiclotl	希克洛特爾
Xiphias	劍魚
Xolas	索拉斯
Xoth	索斯
Yaddith	亞底斯
Yad	亞德
Yarak	亞拉克
Yarrow	亞羅
Yed	耶德
Yekub	耶庫布
Yen	顏
Yhe	耶
Yian	伊安
Yifne	伊夫內
Yildum	伊爾杜姆
Ymar	伊瑪爾
Ynarl	伊納爾
Yoth	約斯
Yue	月
Yuzh	尤茲
Zaban	扎班
Zak	扎克
Zaman	扎曼
Zaniah	扎尼亞
Zaoth	扎奧斯
Zarijan	扎里揚
Zaurak	玉井二
Zenith	天頂
Zerah	謝拉
Zhadoom	扎杜姆
Zhardan	扎爾丹
Zibbat	齊巴特
Zib	齊布
Zichos	齊霍斯
Zinge	津格
Zin	津恩
Zirkel	齊克爾
Zirr	齊爾
Zobna	佐布納
Zoctan	佐克坦
Zona	佐娜
Zosma	太微四
Zothique	佐希克
Zuban	祖班
Zubrah	祖布拉
Zweig	茨威格
